service_id,date,exception_type
Fa,20150529,1
Yr,20150529,1
2,20150530,1
Nb,20150531,1
3,20150531,1
0,20150601,1
Na,20150601,1
Su,20150601,1
Sf,20150601,1
0,20150602,1
Na,20150602,1
Su,20150602,1
Sf,20150602,1
0,20150603,1
Na,20150603,1
Su,20150603,1
Sf,20150603,1
Fa,20150603,1
Fb,20150603,1
Yr,20150603,1
Nb,20150604,1
3,20150604,1
0,20150605,1
Na,20150605,1
Su,20150605,1
Sf,20150605,1
Fa,20150605,1
Yr,20150605,1
2,20150606,1
Nb,20150607,1
3,20150607,1
0,20150608,1
Ss,20150608,1
Na,20150608,1
Su,20150608,1
0,20150609,1
Ss,20150609,1
Na,20150609,1
Su,20150609,1
0,20150610,1
Ss,20150610,1
Na,20150610,1
Su,20150610,1
0,20150611,1
Ss,20150611,1
Na,20150611,1
Su,20150611,1
0,20150612,1
Ss,20150612,1
Na,20150612,1
Su,20150612,1
Fa,20150612,1
Yr,20150612,1
2,20150613,1
Nb,20150614,1
3,20150614,1
0,20150615,1
Ss,20150615,1
Na,20150615,1
Su,20150615,1
0,20150616,1
Ss,20150616,1
Na,20150616,1
Su,20150616,1
0,20150617,1
Ss,20150617,1
Na,20150617,1
Su,20150617,1
0,20150618,1
Ss,20150618,1
Na,20150618,1
Su,20150618,1
0,20150619,1
Ss,20150619,1
Na,20150619,1
Su,20150619,1
Fa,20150619,1
Yr,20150619,1
2,20150620,1
Nb,20150621,1
3,20150621,1
0,20150622,1
Ss,20150622,1
Na,20150622,1
Su,20150622,1
0,20150623,1
Ss,20150623,1
Na,20150623,1
Su,20150623,1
0,20150624,1
Ss,20150624,1
Na,20150624,1
Su,20150624,1
0,20150625,1
Ss,20150625,1
Na,20150625,1
Su,20150625,1
0,20150626,1
Ss,20150626,1
Na,20150626,1
Su,20150626,1
Fa,20150626,1
Yr,20150626,1
2,20150627,1
Nb,20150628,1
3,20150628,1
0,20150629,1
Ss,20150629,1
Na,20150629,1
Su,20150629,1
0,20150630,1
Ss,20150630,1
Na,20150630,1
Su,20150630,1
0,20150701,1
Ss,20150701,1
Na,20150701,1
Su,20150701,1
0,20150702,1
Ss,20150702,1
Na,20150702,1
Su,20150702,1
0,20150703,1
Ss,20150703,1
Na,20150703,1
Su,20150703,1
Fa,20150703,1
Yr,20150703,1
2,20150704,1
Nb,20150705,1
3,20150705,1
0,20150706,1
Ss,20150706,1
Na,20150706,1
Su,20150706,1
0,20150707,1
Ss,20150707,1
Na,20150707,1
Su,20150707,1
0,20150708,1
Ss,20150708,1
Na,20150708,1
Su,20150708,1
0,20150709,1
Ss,20150709,1
Na,20150709,1
Su,20150709,1
0,20150710,1
Ss,20150710,1
Na,20150710,1
Su,20150710,1
Fa,20150710,1
Yr,20150710,1
2,20150711,1
Nb,20150712,1
3,20150712,1
0,20150713,1
Ss,20150713,1
Na,20150713,1
Su,20150713,1
0,20150714,1
Ss,20150714,1
Na,20150714,1
Su,20150714,1
0,20150715,1
Ss,20150715,1
Na,20150715,1
Su,20150715,1
0,20150716,1
Ss,20150716,1
Na,20150716,1
Su,20150716,1
0,20150717,1
Ss,20150717,1
Na,20150717,1
Su,20150717,1
Fa,20150717,1
Yr,20150717,1
2,20150718,1
Nb,20150719,1
3,20150719,1
0,20150721,1
Ss,20150721,1
Na,20150721,1
0,20150722,1
Ss,20150722,1
Na,20150722,1
0,20150723,1
Ss,20150723,1
Na,20150723,1
0,20150724,1
Ss,20150724,1
Na,20150724,1
Fa,20150724,1
Yr,20150724,1
2,20150725,1
Nb,20150726,1
3,20150726,1
0,20150727,1
Ss,20150727,1
Na,20150727,1
0,20150728,1
Ss,20150728,1
Na,20150728,1
0,20150729,1
Ss,20150729,1
Na,20150729,1
0,20150730,1
Na,20150730,1
Sf,20150730,1
0,20150731,1
Na,20150731,1
Sf,20150731,1
Fa,20150731,1
Yr,20150731,1
2,20150801,1
Nb,20150802,1
3,20150802,1
0,20150803,1
Na,20150803,1
Sf,20150803,1
0,20150804,1
Na,20150804,1
Sf,20150804,1
0,20150805,1
Na,20150805,1
Sf,20150805,1
0,20150806,1
Na,20150806,1
Sf,20150806,1
0,20150807,1
Na,20150807,1
Sf,20150807,1
Fa,20150807,1
Yr,20150807,1
2,20150808,1
Nb,20150809,1
3,20150809,1
0,20150810,1
Na,20150810,1
Sf,20150810,1
0,20150811,1
Na,20150811,1
Sf,20150811,1
0,20150812,1
Na,20150812,1
Sf,20150812,1
0,20150813,1
Na,20150813,1
Sf,20150813,1
0,20150814,1
Na,20150814,1
Sf,20150814,1
Fa,20150814,1
Yr,20150814,1
2,20150815,1
Nb,20150816,1
3,20150816,1
0,20150817,1
Na,20150817,1
Sf,20150817,1
